,UUID,UID,RECEIVED TIME,RSSI,DISTANCE(m),APP STATUS,BATTERY,UID_new
152,533_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:26,-72.0,2.3,Foreground,0.85,146.0
153,533_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,167.0,2021-08-24 11:52:26,-83.0,11.8,Foreground,0.85,166.0
154,533_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:26,-90.0,20.9,Foreground,0.85,152.0
155,533_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:26,-92.0,31.5,Foreground,0.85,160.0
156,557_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:26,-63.0,0.8,Foreground,0.85,148.0
157,557_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:26,-91.0,26.2,Foreground,0.85,162.0
158,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:26,-64.0,0.9,Foreground,0.85,148.0
159,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:26,-69.0,1.3,Foreground,0.85,150.0
160,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:26,-73.0,3.1,Foreground,0.85,146.0
161,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:26,-80.0,9.6,Foreground,0.85,166.0
162,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:26,-93.0,12.6,Foreground,0.85,170.0
163,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:26,-85.0,14.4,Foreground,0.85,168.0
164,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:26,-91.0,19.3,Foreground,0.85,154.0
165,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,156.0,2021-08-24 11:52:26,-91.0,23.6,Foreground,0.85,156.0
166,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:26,-93.0,27.1,Foreground,0.85,152.0
167,355_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:26,-89.0,29.7,Foreground,0.85,162.0
168,630_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:26,-72.0,1.4,Foreground,0.85,150.0
169,630_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:26,-88.0,20.1,Foreground,0.85,156.0
170,630_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,165.0,2021-08-24 11:52:26,-93.0,35.3,Foreground,0.85,164.0
171,522_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,147.0,2021-08-24 11:52:27,-68.0,2.0,Foreground,0.85,146.0
172,522_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,153.0,2021-08-24 11:52:27,-90.0,21.4,Foreground,0.85,152.0
173,522_79168CDD-F79A-40DD-A8B8-945F7C0F11C7,161.0,2021-08-24 11:52:27,-90.0,30.2,Foreground,0.85,160.0
174,666_B28E7807-3517-4048-90CD-29E4826AE511,149.0,2021-08-24 11:52:27,-69.0,1.0,Foreground,0.85,148.0
175,666_B28E7807-3517-4048-90CD-29E4826AE511,169.0,2021-08-24 11:52:27,-84.0,11.9,Foreground,0.85,168.0
176,666_B28E7807-3517-4048-90CD-29E4826AE511,155.0,2021-08-24 11:52:27,-89.0,22.4,Foreground,0.85,154.0
177,666_B28E7807-3517-4048-90CD-29E4826AE511,163.0,2021-08-24 11:52:27,-89.0,25.3,Foreground,0.85,162.0
178,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,148.0,2021-08-24 11:52:27,-65.0,1.0,Foreground,0.85,148.0
179,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,150.0,2021-08-24 11:52:27,-66.0,1.2,Foreground,0.85,150.0
180,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,146.0,2021-08-24 11:52:27,-75.0,3.2,Foreground,0.85,146.0
181,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,166.0,2021-08-24 11:52:27,-80.0,8.8,Foreground,0.85,166.0
182,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,170.0,2021-08-24 11:52:27,-84.0,12.4,Foreground,0.85,170.0
183,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,168.0,2021-08-24 11:52:27,-85.0,14.0,Foreground,0.85,168.0
184,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,154.0,2021-08-24 11:52:27,-83.0,17.3,Foreground,0.85,154.0
185,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,164.0,2021-08-24 11:52:27,-93.0,26.4,Foreground,0.85,164.0
186,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,152.0,2021-08-24 11:52:27,-91.0,27.2,Foreground,0.85,152.0
187,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,162.0,2021-08-24 11:52:27,-89.0,28.3,Foreground,0.85,162.0
188,938_DB983EA6-33C3-4EB3-8C58-BB61B2C880CF,160.0,2021-08-24 11:52:27,-93.0,41.8,Foreground,0.85,160.0
189,432_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,151.0,2021-08-24 11:52:27,-69.0,1.5,Foreground,0.85,150.0
190,432_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,171.0,2021-08-24 11:52:27,-89.0,16.5,Foreground,0.85,170.0
191,432_E70CE80A-F0E3-4B6D-96D3-BE5540BD9CDB,157.0,2021-08-24 11:52:27,-87.0,19.4,Foreground,0.85,156.0
